username,created_at,lng,lat,text,,,,
RyJordanS, Sun Jan 24 03:48:24 +0000 2021,-73.948775,40.655138, Tomorrow 😍💫🔥 ,,,,
Juliiiie_18, Sun Jan 24 03:48:24 +0000 2021,-91.682855,41.976528, I fucking feel this please 🤣 ,,,,
kendenman, Sun Jan 24 03:48:24 +0000 2021,-104.945948,39.64038, @davidfrum Trying to get back on the good graces of the Cra Cra... Career over integrity. ,,,,
HalletJulie, Sun Jan 24 03:48:24 +0000 2021,-79.27257,43.629311, @GarethEeson @ErinMartinGenSx Same! Whipple snack is mandatory #some4hpb - perhaps @sepideh_gholami @SyedAAhmad5… https://t.co/Qr52ya9dc5 ,,,,
Mutiny32, Sun Jan 24 03:48:24 +0000 2021,-94.269116,38.933144, @washingtonpost Good ,,,,
fe8_mv, Sun Jan 24 03:48:24 +0000 2021,139.897491,36.177908, @GoodbyM 有難うございます！🙏 ,,,,
robozippy, Sun Jan 24 03:48:24 +0000 2021,-111.917026,40.765805, I know if I ever got to go to the met gala, I'd just request dipping sauce for whatever they had and fried froot pies ,,,
chanelle_amore, Sun Jan 24 03:48:24 +0000 2021,-90.112654,38.612106, my daddy hella funny glad he enjoying his self ,,,,
buttittajeff, Sun Jan 24 03:48:24 +0000 2021,-81.840904,41.15251, All I hear in my head is John Adams pounding the drum on a warm Saturday night at an @Indians game. I’m going through withdraws ,,,,
1y2u0i8, Sun Jan 24 03:48:24 +0000 2021,139.858167,35.716962, I'm at JR 総武線各駅停車 新小岩駅 - @jreast_official in 葛飾区, 東京都 https://t.co/1yDGSfC1JG ,,,
skinbis, Sun Jan 24 03:48:24 +0000 2021,-117.022695,38.502147, 😂😂😂😂 ,,,,
LdnOntFire, Sun Jan 24 03:48:24 +0000 2021,-81.248786,42.948841, Final Update - Command has requested our Fire Prevention Investigator attend to determine the origin, cause and circumstances of this fire. ,,,
grumpy_turtle08, Sun Jan 24 03:48:24 +0000 2021,-117.234439,47.662577, Hera is a bad bitch but she’s also kinda a bitch... ,,,,
1950mt, Sun Jan 24 03:48:25 +0000 2021,139.609624,35.859648, @akanesato7 足が長い～😍 ,,,,
Janet_VH, Sun Jan 24 03:48:24 +0000 2021,-82.985772,39.994684, @ColsUnderground @MayorGinther https://t.co/0M6mnQLrqz ,,,,
orange_7716, Sun Jan 24 03:48:24 +0000 2021,135.50618,34.711243, 美味しい☺️☺️@SifrCache #shisha#Cache#中崎町 https://t.co/iHaNddllyx ,,,,
CaptainSteve666, Sun Jan 24 03:48:25 +0000 2021,-117.104989,32.810012, @deadlyblonde No complaints from me 🍆 ,,,,
ChuckieTobin, Sun Jan 24 03:48:25 +0000 2021,-75.117998,40.004866, @Bobby_Fleck2 Happening around here too.I just stay low lol ,,,,
meabbcast, Sun Jan 24 03:48:25 +0000 2021,-77.343619,39.478903, Tenía tanto de no estar en la casa temprano🤣 ,,,,
JeremyLevine92, Sun Jan 24 03:48:25 +0000 2021,-74.24241,40.948353, This individual right here has absolutely no idea the level of repression the Russian people endure living under Pu… https://t.co/wymARSRei6 ,,,,
carriemarcott, Sun Jan 24 03:48:25 +0000 2021,-86.27054,45.00118, THIS! ,,,,
yatanoraven, Sun Jan 24 03:48:25 +0000 2021,139.543121,35.736213, いや春頃からって言ってたのに今日からエリア8箇所で草 ,,,,
BeLikeSound, Sun Jan 24 03:48:26 +0000 2021,-87.732013,41.833585, @NWI_Fortran I prefer it over a griddle. I just wish I can get a little char from the air frier that I get from a grill. ,,,,
guurldats_isaac, Sun Jan 24 03:48:26 +0000 2021,-118.068689,33.866965, @jvdeyy I hate genes too... ,,,,
EldritchBiLast, Sun Jan 24 03:48:26 +0000 2021,-75.071421,39.891469, @MissCharizardd Panty dropper. ,,,,
iamAdamDaniels, Sun Jan 24 03:48:26 +0000 2021,-84.433106,33.767195, I’ve literally been crushing on this boy on IG and I don’t get any time of day from him 😩 ,,,,
bumblebethbee, Sun Jan 24 03:48:26 +0000 2021,-123.370838,48.496225, i sleep talk, but sometimes i sleep fight, when i was a little kid (like 5) i was on my moms bed and i clotheslined… https://t.co/9GNGF5Nkfs ,,
alofany, Sun Jan 24 03:48:26 +0000 2021,-99.772738,25.167144, Mi Tabasco 💕 ,,,,
